epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,582.577,1.0287,0.98162,0.99989,0.06288,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182,0.00999545,0.00333182
2,1126.08,0.09747,0.98993,0.99983,0.03048,0.0193356,0.0064452,0.0193356,0.0064452,0.0193356,0.0064452,0.0193356,0.0064452
3,1616.26,0.1245,0.97746,0.99983,0.07047,0.0280157,0.00933858,0.0280157,0.00933858,0.0280157,0.00933858,0.0280157,0.00933858
4,2110.07,0.15485,0.98646,0.99994,0.04052,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,2606.82,0.11163,0.99237,0.99994,0.02371,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,3103.01,0.08829,0.99459,0.99989,0.01673,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,3594.31,0.08164,0.99511,0.99994,0.01533,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,4086.29,0.07245,0.99613,0.99994,0.01157,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,4578.94,0.06667,0.99602,0.99994,0.01241,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,5069,0.06194,0.99738,0.99994,0.00848,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,5559.8,0.057,0.99784,0.99994,0.0074,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,6049.83,0.05083,0.99789,0.99994,0.00684,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,6934.33,0.04777,0.99824,0.99994,0.00628,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,7705.36,0.04585,0.99835,1,0.00651,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,8195.72,0.04118,0.99841,1,0.00646,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,8695.78,0.0367,0.99852,1,0.0061,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,9188.24,0.03405,0.99852,1,0.0058,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,9677.71,0.03279,0.99858,0.99994,0.00573,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,10169.3,0.02916,0.99841,0.99994,0.00565,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,10664.9,0.02873,0.99852,0.99994,0.00543,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,11156.3,0.02485,0.99852,0.99994,0.00523,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,11645.6,0.02085,0.99863,0.99994,0.00516,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,12382.3,0.01817,0.99869,0.99994,0.00513,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,12870.4,0.01747,0.99863,0.99994,0.00513,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,13360.8,0.01299,0.99875,0.99994,0.00495,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,13850.7,0.01102,0.99875,0.99994,0.00489,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,14344.2,0.00941,0.9988,0.99994,0.00471,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,14853.5,0.00678,0.99892,0.99994,0.00461,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,15356.2,0.00641,0.99892,0.99989,0.00448,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,15852,0.00585,0.99898,0.99989,0.00436,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
